OrderID,Date,CustomerName,Product,Category,Quantity,UnitPrice,Revenue,Region
1001,2026-01-20,Peter Parker,Sofa,Furniture,3,600,1800,North
1002,2023-12-30,Bob Johnson,Headphones,electronics,-1,100,-100,West
1003,2026-07-26,Nathan Drake,Bookshelf,Furniture,9,300,2700, north 
1004,2024-09-07,Grace Hopper,Smart Watch,Electronics,7,250,1750,south
1005,2026-06-25,Charlie Davis,Smart Watch,Electronics,2,250,500,West
1006,2023-06-20,Kathy Bates,Mouse,Electronics,6,25,150,south
1006,2023-06-20,Kathy Bates,Mouse,Electronics,6,25,150,south
1007,2023-07-23,Charlie Davis,Headphones,electronics,4,100,400,North
1008,2024-08-10,Peter Parker,Keyboard,Electronics,1,40,40,EAST
1009,2026-04-20,Ivy Taylor,Monitor,Electronics,6,300,1800, north 
1010,2026-06-12,Charlie Davis,Headphones,electronics,2,100,200,south
1011,02/16/24,Bob Johnson,Bookshelf,Furniture,9,300,2700,EAST
1012,2023-01-18,Eve White,Desk Chair,Furniture,7,150,1050,West
1013,2023-08-07,Kathy Bates,Headphones,electronics,1,100,100,East
1014,2026-01-28,Grace Hopper,Headphones,electronics,6,100,600,North
1015,2025-01-30,Leo Tolstoy,Desk Chair,Furniture,5,150,750,south
1016,2026-02-26,Eve White,Laptop,Electronics,9,1200,,North
1017,2024-10-05,Olivia Munn,Laptop,Electronics,7,1200,, north 
1018,2024-11-04,Grace Hopper,Laptop,Electronics,6,1200,7200,South
1019,2024-09-02,Bob Johnson,Monitor,Electronics,6,300,1800,North
1020,2026-02-04,,Laptop,Electronics,5,1200,6000, north 
1021,2023-02-22,Frank Green,Keyboard,Electronics,9,40,360,West
1022,2025-05-21,Kathy Bates,Headphones,electronics,4,100,400,South
1023,2026-02-20,jane smith,Headphones,electronics,6,100,600, north 
1024,2025-09-11,John Doe,Mouse,Electronics,4,25,100, north 
1025,22-03-2024,Eve White,Blender,Appliances,6,50,300,East
1026,2024-03-26,Mary Shelley,Sofa,Furniture,9,600,5400, north 
1027,2024-10-07,jane smith,Monitor,Electronics,3,300,900,West
1028,2025-04-26,jane smith,Bookshelf,Furniture,7,300,2100,EAST
1029,2023-06-11,Frank Green,Headphones,electronics,8,100,800,East
1030,2024-12-06,Mary Shelley,Bookshelf,Furniture,3,300,900, north 
1031,2023-10-31,John Doe,Printer,Electronics,3,200,600,North
1032,2025-07-03,Grace Hopper,Desk Chair,Furniture,3,150,450,South
1033,2026-12-18,Leo Tolstoy,Desk Chair,Furniture,1,150,150,south
1034,2023-05-26,Nathan Drake,Headphones,electronics,4,100,400,West
1035,2025-05-24,Eve White,Smart Watch,Electronics,8,250,2000,south
1036,2024-08-26,Kathy Bates,Smart Watch,Electronics,8,250,2000,East
1037,2025-01-27,John Doe,Sofa,Furniture,4,600,2400,South
1038,09/02/24,Jack Black,Mouse,Electronics,6,25,150,North
1039,2024-02-21,jane smith,Keyboard,Electronics,6,40,240,West
1040,2023-12-07,Alice Brown,Blender,Appliances,9,50,450,South
1041,2025-06-13,,Monitor,Electronics,7,300,2100,South
1042,2026-03-14,jane smith,Smart Watch,Electronics,4,250,1000,EAST
1043,2024-08-24,Grace Hopper,Printer,Electronics,8,200,,EAST
1044,2026-08-26,Bob Johnson,Keyboard,Electronics,4,40,160,South
1045,2026-11-16,Peter Parker,Blender,Appliances,1,50,50,East
1046,2026-06-17,Charlie Davis,Desk Chair,Furniture,4,150,600,South
1047,2025-06-28,Kathy Bates,Coffee Maker,Appliances,2,75,150,West
1048,2026-02-21,Grace Hopper,Bookshelf,Furniture,1,300,300,East
1049,2024-08-22,Grace Hopper,Sofa,Furniture,9,600,,South
1050,2025-04-06,Eve White,Laptop,Electronics,4,1200,4800,West
1050,2025-04-06,Eve White,Laptop,Electronics,4,1200,4800,West
1051,2024-07-10,Frank Green,Sofa,Furniture,7,600,4200,South
1052,2026-06-05,John Doe,Smart Watch,Electronics,6,250,1500,West
1053,2024-08-15,Leo Tolstoy,Sofa,Furniture,1,600,600,South
1054,2024-08-14,Peter Parker,Desk Chair,Furniture,3,150,450,South
1055,2025-03-08,Hank Williams,Coffee Maker,Appliances,5,75,375,North
1056,2023-06-08,Ivy Taylor,Mouse,Electronics,2,25,50,south
1057,2025-05-16,Charlie Davis,Printer,Electronics,2,200,400, north 
1058,2023-09-30,Peter Parker,Sofa,Furniture,3,600,1800, north 
1059,2026-06-02,Bob Johnson,Laptop,Electronics,2,1200,2400,North
1060,2026-03-15,John Doe,Printer,Electronics,1,200,200,South
1061,2023-05-02,Olivia Munn,Mouse,Electronics,6,25,150, north 
1062,2024-06-14,Peter Parker,Desk Chair,Furniture,2,150,300,South
1063,21-02-2026,Leo Tolstoy,Coffee Maker,Appliances,9,75,675,North
1064,2026-12-19,Frank Green,Bookshelf,Furniture,1,300,300,North
1065,2025-08-19,Mary Shelley,Mouse,Electronics,7,25,175,EAST
