EmpID,FirstName,LastName,Department,JobRole,HireDate,TerminationDate,Salary,Gender,JobSatisfaction,Attrition
10001,Charlie,Brown,Sales,Developer,08/17/2022,,69637,F,2,No
10002,Alice,Johnson, saLes ,Developer,2020-09-07,,,Male,2,No
10003,Diana,Doe, HR,Salesperson,2019-09-09,,120035,Female,3,No
10004,Jane,Miller,R&D,Salesperson,2022-02-15,,,Female,1,No
10005,Charlie,Davis,R&D,Manager,2015-06-12,,110844,F,3,No
10006,Alice,Miller, saLes ,Developer,2019-06-16,,134160,F,4,No
10007,Alice,Johnson,HR,Salesperson,2017-10-14,,98876,Female,4,No
10008,Frank,Brown, saLes ,Manager,2020-01-30,,112692,Male,2,No
10009,Jane,Davis, HR,HR Rep,2020-12-02,,95767,Male,4,No
10010,Alice,Smith, saLes ,Salesperson,2022-11-08,,65477,M,2,No
10011,Jane,Doe,HR,Director,2022-04-21,,79789,Female,2,No
10012,Charlie,Johnson,R&D,Salesperson,2018-05-20,2021-05-23,65232,Female,1,Yes
10013,Frank,Wilson, HR,HR Rep,2017-05-28,,107084,Female,4,No
10014,John,Brown,R&D,Analyst,2021-07-11,2023-01-10,90074,F,4,Yes
10015,Charlie,Davis,R&D,Director,2017-08-28,,60228,M,2,No
10016,Jane,Miller,R&D,Manager,2018-12-12,,51229,M,4,No
10017,Frank,Miller, saLes ,Developer,2020-05-10,,76855,Male,4,No
10018,Charlie,Johnson, HR,Developer,2016-03-01,,130281,Female,3,No
10019,Jane,Miller,R&D,Director,2016-10-18,2020-11-17,91595,Female,4,Yes
10020,Alice,Smith,HR,Developer,2023-03-03,,56780,M,1,No
10021,Charlie,Doe, saLes ,Manager,2016-02-24,2018-04-02,130958,M,1,Yes
10022,Jane,Brown, HR,Salesperson,2015-02-03,2018-03-06,90161,Male,4,Yes
10023,Jane,Smith,Sales,HR Rep,2020-05-04,,63419,F,1,No
10024,Jane,Doe,R&D,HR Rep,2018-04-13,,59096,M,3,No
